"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_0618000",1103,750,1617,1214
"PVP01_1106200",2,4,5,10
"PVP01_1327800",969,1129,722,1201
"PVP01_0836400",67,11,196,9
"PVP01_0419300",43,71,44,69
"PVP01_0208400",160,168,135,283
"PVP01_0949600",0,0,0,0
"PVP01_1207900",70,118,201,200
"PVP01_0005580",0,0,0,0
"PVP01_0729700",3234,2785,2195,3503
"PVP01_1408800",1737,1231,2059,1675
"PVP01_1140800",307,265,265,348
"PVP01_1427300",1253,1326,1562,1860
"PVP01_1310400",66,74,53,109
"PVP01_1231900",538,472,602,568
"PVP01_1221300",24,47,58,53
"PVP01_1468000",1902,1473,2036,1628
"PVP01_1445100",268,358,179,472
"PVP01_0831800",0,3,0,2
"PVP01_1009700",1922,1393,2363,1498
"PVP01_1439300",4859,5694,5755,5809
"PVP01_1329900",8,7,18,7
"PVP01_0909000",113,110,95,112
"PVP01_0003970",0,0,0,0
"PVP01_1125500",30,18,36,98
"PVP01_0011150",0,0,0,0
"PVP01_0705100",487,258,524,419
"PVP01_0608000",71,62,67,36
"PVP01_1134500",637,681,575,615
"PVP01_0209600",1624,1972,2003,2266
"PVP01_1337000",563,588,518,437
"PVP01_0008730",0,0,0,0
"PVP01_0512200",111,64,86,17
"PVP01_0901800",2628,3633,4884,3986
"PVP01_0220300",0,0,0,0
"PVP01_1312600",152,220,251,222
"PVP01_1145300",1689,1919,1394,2535
"PVP01_1106400",708,433,622,572
"PVP01_1320500",4366,5962,5208,5042
"PVP01_0913200",1168,1023,877,1710
"PVP01_1442400",854,834,1048,734
"PVP01_0413700",1779,1045,1364,1074
"PVP01_0004640",0,0,0,0
"PVP01_1214800",531,301,706,658
"PVP01_0408800",12,7,3,24
"PVP01_1266600",3832,3304,2525,3598
"PVP01_0812000",372,336,518,448
