gene_id	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_0733900	100	100	100	100
PVP01_0803300	100	100	100	100
PVP01_0803400	100	100	100	1106
PVP01_0803800	100	100	100	100
PVP01_0806900	100	100	100	100
PVP01_0808200	100	100	284	1
PVP01_0810400	100	100	100	100
PVP01_0812300	100	100	100	100
PVP01_0812500	100	100	100	100
PVP01_0813900	100	100	1	450
PVP01_0814200	100	100	100	100
PVP01_0816000	100	100	100	100
PVP01_0816100	100	100	100	100
PVP01_0816800	100	100	100	100
PVP01_0817300	100	100	100	100
PVP01_0817800	785	100	100	1
PVP01_0818200	2244	100	100	1
PVP01_0819300	100	100	100	100
PVP01_0822900	100	100	100	100
PVP01_0823200	100	100	100	100
PVP01_0823300	1	900	100	100
PVP01_0823800	100	100	941	100
PVP01_0824100	100	100	100	100
PVP01_0827400	100	100	100	100
PVP01_0829800	100	100	1226	1
PVP01_0829900	100	100	100	100
PVP01_0830600	100	100	100	100
PVP01_0831000	100	100	336	1
PVP01_0832100	100	100	100	100
PVP01_0832500	100	100	100	100
PVP01_0833000	100	100	100	100
PVP01_0833200	100	100	100	100
PVP01_0834600	100	100	503	1
PVP01_0835800	1590	100	100	1
PVP01_0837000	100	100	100	100
PVP01_0903900	100	100	100	100
PVP01_0905100	1	333	100	100
PVP01_0905200	100	100	768	1
PVP01_0905700	100	100	100	100
PVP01_0905800	100	100	100	100
PVP01_0906200	100	1263	100	100
PVP01_0908600	100	100	1	358
PVP01_0908900	100	100	100	100
PVP01_0909400	100	100	100	100
PVP01_0909500	100	100	512	1
PVP01_0910700	100	100	100	100
PVP01_0911200	100	100	100	100
PVP01_0913900	100	100	100	1356
PVP01_0915900	100	100	100	100
PVP01_0916400	100	100	1753	1
PVP01_0916600	100	100	1	833
PVP01_0916700	100	100	100	100
PVP01_0917800	367	100	100	1
PVP01_0918800	100	100	100	100
PVP01_0919300	100	100	100	100
PVP01_0921700	100	100	100	100
PVP01_0921900	100	100	478	1
PVP01_0922200	100	100	100	100
PVP01_0925600	6254	100	100	1
PVP01_0926500	100	100	100	100
PVP01_0927400	100	100	100	100
PVP01_0928300	100	100	100	100
PVP01_0929900	100	100	702	1
PVP01_0930700	1868	100	100	1
PVP01_0930800	100	100	100	100
PVP01_0931900	100	100	411	100
PVP01_0934000	100	100	100	100
PVP01_0934800	1	455	100	100
PVP01_0935100	100	100	334	1
PVP01_0936800	100	100	100	100
PVP01_0939000	100	100	100	100
PVP01_0939400	100	100	100	100
PVP01_0939500	100	100	100	100
PVP01_0939700	100	100	100	156
PVP01_0942000	100	100	354	1
PVP01_0942800	100	100	100	100
PVP01_0943000	100	100	100	100
PVP01_0943300	100	100	100	100
PVP01_0943800	100	100	1	279
PVP01_0943900	100	100	1181	100
PVP01_0944700	100	100	100	100
PVP01_0945000	18314	100	100	1
PVP01_0945900	100	100	1	244
PVP01_0947200	100	100	100	100
PVP01_1002900	100	100	114	1
PVP01_1003800	100	100	100	100
PVP01_1006300	100	100	100	100
PVP01_1006800	100	100	100	100
PVP01_1008000	100	100	1	2951
PVP01_1013900	3749	100	100	1
PVP01_1014500	5425	100	100	1
PVP01_1017200	100	100	100	100
PVP01_1018200	100	100	100	100
PVP01_1018500	100	100	1	328
PVP01_1020300	100	100	100	100
PVP01_1022200	100	100	609	1
PVP01_1024000	100	100	100	100
PVP01_1024200	100	100	100	100
PVP01_1024900	100	100	100	100
PVP01_1025100	100	100	100	100
PVP01_1026900	100	100	100	100
PVP01_1027100	100	100	100	100
PVP01_1028900	100	100	100	100
PVP01_1029200	100	100	100	100
PVP01_1030200	100	100	100	100
PVP01_1030300	100	100	100	100
PVP01_1030500	100	100	1	2669
PVP01_1104300	100	100	100	100
PVP01_1106100	100	100	100	100
PVP01_1107900	100	100	431	100
PVP01_1109000	421	100	100	100
PVP01_1110200	100	100	100	100
PVP01_1111200	100	100	100	100
PVP01_1112000	100	100	100	100
PVP01_1112200	100	100	100	100
PVP01_1113100	1	3351	100	1
PVP01_1115100	100	100	100	139
PVP01_1115400	100	100	100	100
PVP01_1115800	100	100	100	100
PVP01_1121200	100	100	1	794
PVP01_1121400	100	100	100	100
PVP01_1122200	100	100	841	100
PVP01_1126600	100	100	100	190
PVP01_1127700	100	100	100	100
PVP01_1128300	100	100	100	100
PVP01_1129100	100	100	100	100
PVP01_1129800	100	100	100	100
PVP01_1131200	100	100	100	100
PVP01_1131500	100	100	100	100
PVP01_1134600	3626	100	100	1
PVP01_1135200	100	100	1	242
PVP01_1135300	100	100	100	100
PVP01_1135800	100	100	100	100
PVP01_1136400	100	100	1	684
PVP01_1137500	100	100	100	100
PVP01_1137600	100	100	765	1
PVP01_1139300	100	100	100	148
PVP01_1140100	100	100	100	100
PVP01_1140900	100	100	100	100
PVP01_1141300	100	100	100	100
PVP01_1141400	100	100	326	1
PVP01_1142200	100	100	358	1
PVP01_1142900	100	100	263	1
PVP01_1144800	100	100	100	100
PVP01_1145100	100	100	190	1
PVP01_1145900	100	100	100	100
PVP01_1202100	100	140	100	100
PVP01_1202300	100	100	2038	1
