GeneID	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_0909500	1	1	512	1
PVP01_0910700	1	1	1	1
PVP01_0911200	"1,011"	911	700	1
PVP01_0913900	1	1	1	"1,356"
PVP01_0915900	1	1	402	254
PVP01_0916400	1	1	"1,753"	1
PVP01_0916600	1	1	1	833
PVP01_0916700	1	248	622	752
PVP01_0917800	367	1	1	1
PVP01_0918800	1	1	1	1
PVP01_0919300	1	1	1	1
PVP01_0921700	1	1	302	178
PVP01_0921900	1	1	478	1
PVP01_0922200	"10,816"	"3,237"	1	1
PVP01_0925600	"6,254"	1	1	1
PVP01_0926500	1	1	1	1
PVP01_0927400	1	1	1	1
PVP01_0928300	1	1	1	1
PVP01_0929900	1	1	702	1
PVP01_0930700	"1,868"	1	1	1
PVP01_0930800	"2,105"	"1,499"	962	1
PVP01_0931900	1	1	411	1
PVP01_0934000	1	290	619	117
PVP01_0934800	1	455	1	1
PVP01_0935100	1	1	334	1
PVP01_0936800	1	1	1	1
PVP01_0939000	1	1	355	134
PVP01_0939400	1	1	165	56
PVP01_0939500	1	585	912	365
PVP01_0939700	1	1	1	156
PVP01_0942000	1	1	354	1
PVP01_0942800	1	205	279	1
PVP01_0943000	1	1	302	138
PVP01_0943300	1	1	1	1
PVP01_0943800	1	1	1	279
PVP01_0943900	1	1	"1,181"	1
PVP01_0944700	1	1	1	1
PVP01_0945000	"18,314"	1	1	1
PVP01_0945900	1	1	1	244
PVP01_0947200	1	1	192	"1,231"
PVP01_1002900	1	1	114	1
PVP01_1003800	1	1	1	1
PVP01_1006300	"1,586"	865	469	1
PVP01_1006800	1	453	552	1
PVP01_1008000	1	1	1	"2,951"
PVP01_1013900	"3,749"	1	1	1
PVP01_1014500	"5,425"	1	1	1
PVP01_1017200	1	182	454	1
PVP01_1018200	1	1	631	744
PVP01_1018500	1	1	1	328
PVP01_1020300	1	516	312	1
PVP01_1022200	1	1	609	1
PVP01_1024000	870	528	1	308
PVP01_1024200	1	1	231	405
PVP01_1024900	1	277	506	1
PVP01_1025100	1	1	501	466
PVP01_1026900	"3,580"	"2,349"	946	1
PVP01_1027100	1	1	443	283
PVP01_1028900	1	1	244	71
PVP01_1029200	1	157	344	55
PVP01_1030200	1	1	1	1
PVP01_1030300	1	1	1	1
PVP01_1030500	1	1	1	"2,669"
PVP01_1104300	1	1	1	1
PVP01_1106100	1	"3,969"	1	"2,309"
PVP01_1107900	1	1	431	1
PVP01_1109000	421	1	1	1
PVP01_1110200	1	1	152	448
PVP01_1111200	1	832	815	1
PVP01_1112000	1	168	235	155
PVP01_1112200	1	1	67	123
PVP01_1113100	1	"3,351"	1	1
PVP01_1115100	1	1	1	139
PVP01_1115400	1	1	1	1
PVP01_1115800	1	1	656	346
PVP01_1121200	1	1	1	794
PVP01_1121400	1	1	36	347
PVP01_1122200	1	1	841	1
PVP01_1126600	1	1	1	190
PVP01_1127700	1	1	1	1
PVP01_1128300	1	1	1	1
PVP01_1129100	1	1	1	1
PVP01_1129800	1	1	1	1
PVP01_1131200	1	"2,964"	"1,549"	1
PVP01_1131500	1	1	1	1
PVP01_1134600	"3,626"	1	1	1
PVP01_1135200	1	1	1	242
PVP01_1135300	1	208	"1,452"	294
PVP01_1135800	1	1	1	1
PVP01_1136400	1	1	1	684
PVP01_1137500	1	"5,774"	"3,512"	1
PVP01_1137600	1	1	765	1
PVP01_1139300	1	1	1	148
PVP01_1140100	"1,679"	"2,008"	"1,697"	1
PVP01_1140900	1	1	1	1
PVP01_1141300	1	1	350	41
PVP01_1141400	1	1	326	1
PVP01_1142200	1	1	358	1
PVP01_1142900	1	1	263	1
PVP01_1144800	1	1	520	173
PVP01_1145100	1	1	190	1
PVP01_1145900	1	1	1	1
PVP01_1202100	1	140	1	1
PVP01_1202300	1	1	"2,038"	1
PVP01_1203100	1	1	1	484
PVP01_1203300	1	1	1	1
PVP01_1207300	"1,149"	"1,194"	1	1
PVP01_1207600	"1,368"	1	1	1
PVP01_1208500	"3,780"	1	1	1
PVP01_1210500	1	1	1	586
PVP01_1210600	1	635	801	1
PVP01_1211000	1	1	35	159
PVP01_1211700	1	1	655	1
PVP01_1211800	"5,948"	"4,159"	"5,350"	"1,084"
PVP01_1211900	1	102	1	1
PVP01_1212200	1	1	1	91
PVP01_1212800	"2,985"	"1,830"	904	1
PVP01_1213400	1	1	1	1
PVP01_1213600	1	840	1	1
PVP01_1213900	1	1	440	527
PVP01_1215100	1	1	505	1
PVP01_1216400	"1,236"	"1,239"	1	1
PVP01_1216500	1	1	1	1
PVP01_1217900	1	1	1	1
PVP01_1218900	1	1	216	1
PVP01_1222500	1	1	1	257
PVP01_1223100	1	1	1	1
PVP01_1227000	1	1	"1,000"	1
PVP01_1227100	1	1	1	49
PVP01_1230900	1	1	1	1
PVP01_1231200	"4,340"	"2,004"	1	1
PVP01_1232400	1	159	316	88
PVP01_1233600	1	695	1	1
PVP01_1235700	"5,857"	"3,227"	1	1
PVP01_1236000	1	236	327	1
PVP01_1237600	1	1	1	1
PVP01_1238100	511	"1,415"	533	1
PVP01_1238400	1	1	1	1
PVP01_1238900	1	293	319	675
PVP01_1240500	1	327	618	273
PVP01_1240900	1	"1,228"	1	1
PVP01_1242900	1	1	1	485
PVP01_1244000	"2,430"	956	1	1
PVP01_1245400	1	1	1	"1,103"
PVP01_1246100	1	"1,850"	1	1
PVP01_1246200	1	1	1	1
PVP01_1246500	"6,710"	1	1	1
PVP01_1248400	1	1	200	1
PVP01_1249700	1	1	"2,696"	1
PVP01_1251600	1	1	1	1
PVP01_1253300	"4,624"	"2,340"	1	1
PVP01_1255000	1	1	1	492
PVP01_1255900	576	721	383	1
PVP01_1260000	"3,430"	"1,268"	1	1
PVP01_1263100	1	474	214	1
PVP01_1264100	1	225	388	101
PVP01_1264300	1	1	141	1
PVP01_1265700	1	1	153	1
PVP01_1266900	1	1	503	1
PVP01_1267100	1	1	1	1
PVP01_1267500	1	1	1	219
PVP01_1304600	1	1	189	1
PVP01_1304700	"2,210"	476	1	1
PVP01_1305300	944	655	356	1
PVP01_1305400	1	1	1	122
PVP01_1306100	1	204	392	159
PVP01_1308000	1	1	471	1
PVP01_1308400	1	1	280	568
PVP01_1308500	1	1	1	1
PVP01_1311600	"1,102"	914	1	1
PVP01_1312300	1	1	459	1
PVP01_1313200	1	1	1	97
PVP01_1313900	1	1	1	190
PVP01_1315000	203	112	1	1
PVP01_1318000	1	1	1	1
PVP01_1319600	1	233	414	158
PVP01_1321100	1	1	1	373
PVP01_1322600	1	1	428	157
PVP01_1323200	1	1	1	1
PVP01_1323300	"2,899"	1	1	1
PVP01_1324000	1	1	1	906
PVP01_1324700	"4,337"	"2,089"	"1,168"	1
PVP01_1324800	"2,297"	"1,141"	694	1
PVP01_1325700	1	1	1	90
PVP01_1327700	"4,233"	1	1	1
PVP01_1328200	"2,215"	"1,939"	217	288
PVP01_1334500	1	1	966	1
PVP01_1334600	"2,500"	"2,972"	"1,700"	1
